ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Ascension Day,Ascension Day_lower,Ascension Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Eve,Christmas Eve_lower,Christmas Eve_upper,Easter Monday,Easter Monday_lower,Easter Monday_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,May Day,May Day_lower,May Day_upper,Midsummer Day,Midsummer Day_lower,Midsummer Day_upper,Midsummer Eve,Midsummer Eve_lower,Midsummer Eve_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Second Day of Christmas,Second Day of Christmas_lower,Second Day of Christmas_upper,Whit Sunday,Whit Sunday_lower,Whit Sunday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-20 05:00:00,0.854354,0.0,2.0,0.854354,0.854354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9230153289867897,-0.9230153289867897,-0.9230153289867897,-0.5637911946993467,-0.5637911946993467,-0.5637911946993467,0.0,0.0,0.0,-0.35922413428744304,-0.35922413428744304,-0.35922413428744304,0.0,0.0,0.0,0.0
2024-05-20 06:00:00,0.8543968053350269,0.0,3.0,0.8543968053350269,0.8543968053350269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6159779641087783,-0.6159779641087783,-0.6159779641087783,-0.29087830001467174,-0.29087830001467174,-0.29087830001467174,0.0,0.0,0.0,-0.3250996640941065,-0.3250996640941065,-0.3250996640941065,0.0,0.0,0.0,0.0
2024-05-20 07:00:00,0.854439610670054,0.0,3.0,0.854439610670054,0.854439610670054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24858813554765635,-0.24858813554765635,-0.24858813554765635,0.042548329255555524,0.042548329255555524,0.042548329255555524,0.0,0.0,0.0,-0.29113646480321187,-0.29113646480321187,-0.29113646480321187,0.0,0.0,0.0,1.0
2024-05-20 08:00:00,0.854482416005081,0.0,3.0,0.854482416005081,0.854482416005081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17094920787098344,0.17094920787098344,0.17094920787098344,0.4285539413361582,0.4285539413361582,0.4285539413361582,0.0,0.0,0.0,-0.25760473346517476,-0.25760473346517476,-0.25760473346517476,0.0,0.0,0.0,1.0
2024-05-20 09:00:00,0.8545252213401079,0.0,4.0,0.8545252213401079,0.8545252213401079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5960942835581969,0.5960942835581969,0.5960942835581969,0.8208545353839697,0.8208545353839697,0.8208545353839697,0.0,0.0,0.0,-0.2247602518257728,-0.2247602518257728,-0.2247602518257728,0.0,0.0,0.0,1.0
2024-05-20 10:00:00,0.8545680266751349,0.0,4.0,0.8545680266751349,0.8545680266751349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9382795201120503,0.9382795201120503,0.9382795201120503,1.1311214711861122,1.1311214711861122,1.1311214711861122,0.0,0.0,0.0,-0.19284195107406188,-0.19284195107406188,-0.19284195107406188,0.0,0.0,0.0,2.0
2024-05-20 11:00:00,0.854610832010162,0.0,4.0,0.854610832010162,0.854610832010162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1166107418290754,1.1166107418290754,1.1166107418290754,1.2786804569631478,1.2786804569631478,1.2786804569631478,0.0,0.0,0.0,-0.1620697151340723,-0.1620697151340723,-0.1620697151340723,0.0,0.0,0.0,2.0
2024-05-20 12:00:00,0.854653637345189,0.0,4.0,0.854653637345189,0.854653637345189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1190729540941138,1.1190729540941138,1.1190729540941138,1.2517153999997574,1.2517153999997574,1.2517153999997574,0.0,0.0,0.0,-0.13264244590564328,-0.13264244590564328,-0.13264244590564328,0.0,0.0,0.0,2.0
2024-05-20 13:00:00,0.8546964426802159,0.0,4.0,0.8546964426802159,0.8546964426802159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122829559276294,1.0122829559276294,1.0122829559276294,1.1170193662617716,1.1170193662617716,1.1170193662617716,0.0,0.0,0.0,-0.10473641033414222,-0.10473641033414222,-0.10473641033414222,0.0,0.0,0.0,2.0
2024-05-20 14:00:00,0.8547392480152428,0.0,4.0,0.8547392480152428,0.8547392480152428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8820704541927951,0.8820704541927951,0.8820704541927951,0.9605743398725181,0.9605743398725181,0.9605743398725181,0.0,0.0,0.0,-0.07850388567972283,-0.07850388567972283,-0.07850388567972283,0.0,0.0,0.0,2.0
